"";"PlotID";"Landscape_type_2";"Plot_type_3";"Date.start";"Date.end";"Duration";"Insects";"Ausgangsgewicht";"Ausgangsgewicht_trocken";"dung_wet";"dung_dry";"weight_loss";"weight_loss_percent";"elevation";"average_Temp_DL_exp";"average_Humidity_DL_exp";"average_Temp_DL";"av_prec_exp";"av_temp_exp";"Annual_P_LT";"Annual_T2AVG_LT"
"1";"5636_4_A";"b";"c";"16.05.2019";"15.06.2019";30;"yes";450;108,36;92,01;73,95;34,41;31,76;562;14,55;80,1;15,26;46;15,8;825,2333333;7,761111111
"2";"5636_4_A";"b";"c";"16.05.2019";"15.06.2019";30;"no";450,8;108,55;121,79;67,52;41,03;37,8;562;14,55;80,1;15,26;46;15,8;825,2333333;7,761111111
"3";"5636_4_F";"b";"a";"16.05.2019";"15.06.2019";30;"yes";451,2;108,65;38,59;35,81;72,84;67,04;614;16,17;73,61;16,62;47,6666666666667;15,5666666666667;846,4;7,490277778
"4";"5636_4_F";"b";"a";"16.05.2019";"15.06.2019";30;"no";450,1;108,38;50,47;35,88;72,5;66,9;614;16,17;73,61;16,62;47,6666666666667;15,5666666666667;846,4;7,490277778
"5";"5636_4_G";"b";"b";"16.05.2019";"15.06.2019";30;"yes";450,2;108,41;127,35;57,08;51,33;47,35;551;16,17;73,41;15,73;45,3333333333333;15,7;803,2;7,681666667
"6";"5636_4_G";"b";"b";"16.05.2019";"15.06.2019";30;"no";450,3;108,43;143,61;62,46;45,97;42,4;551;16,17;73,41;15,73;45,3333333333333;15,7;803,2;7,681666667
"7";"5637_3_A";"c";"c";"16.05.2019";"15.06.2019";30;"yes";451,3;108,67;91,66;83,92;24,75;22,78;558;16,33;74,64;16,95;42,6666666666667;15,8;757,8333333;7,724722222
"8";"5637_3_A";"c";"c";"16.05.2019";"15.06.2019";30;"no";451,1;108,62;87,47;76,43;32,19;29,64;558;16,33;74,64;16,95;42,6666666666667;15,8;757,8333333;7,724722222
"9";"5637_3_G";"c";"b";"16.05.2019";"15.06.2019";30;"yes";450,1;108,38;86,43;68,86;39,52;36,47;519;15,99;74,92;15,12;42,6666666666667;15,8;775,1666667;7,689166667
"10";"5637_3_G";"c";"b";"16.05.2019";"15.06.2019";30;"no";450,4;108,46;139,53;66,36;42,1;38,81;519;15,99;74,92;15,12;42,6666666666667;15,8;775,1666667;7,689166667
"11";"5637_3_U";"c";"d";"16.05.2019";"15.06.2019";30;"yes";450,5;108,48;143,08;74,42;34,06;31,4;536;17,88;66,69;16,63;38,6666666666667;15,9333333333333;717,2333333;7,7475
"12";"5637_3_U";"c";"d";"16.05.2019";"15.06.2019";30;"no";450;108,36;225,93;63,66;44,7;41,25;536;17,88;66,69;16,63;38,6666666666667;15,9333333333333;717,2333333;7,7475
"13";"5728_2_A";"b";"c";"15.05.2019";"14.06.2019";30;"yes";449,9;108,34;211,18;93,8;14,54;13,42;292;16,43;76,47;16,9;51,6666666666667;15,7666666666667;597,4;8,961666667
"14";"5728_2_A";"b";"c";"15.05.2019";"14.06.2019";30;"no";450,2;108,41;253,46;89,11;19,3;17,8;292;16,43;76,47;16,9;51,6666666666667;15,7666666666667;597,4;8,961666667
"15";"5728_2_F";"b";"a";"15.05.2019";"14.06.2019";30;"yes";450,4;108,46;278,52;74,79;33,67;31,04;380;16,37;75,79;16,93;55,6666666666667;15,3333333333333;689,9666667;8,481944444
"16";"5728_2_F";"b";"a";"15.05.2019";"14.06.2019";30;"no";450,4;108,46;322,16;88,19;20,27;18,69;380;16,37;75,79;16,93;55,6666666666667;15,3333333333333;689,9666667;8,481944444
"17";"5728_2_G";"b";"b";"15.05.2019";"14.06.2019";30;"yes";450;108,36;250,44;68,77;39,59;36,54;274;15,61;77,96;15,78;49,6666666666667;16;595,2666667;9,096944444
"18";"5728_2_G";"b";"b";"15.05.2019";"14.06.2019";30;"no";450,5;108,48;306,79;69,44;39,04;35,99;274;15,61;77,96;15,78;49,6666666666667;16;595,2666667;9,096944444
"19";"5737_3_A";"b";"c";"15.05.2019";"14.06.2019";30;"yes";450,9;108,58;295,34;72,82;35,76;32,93;545;14,63;79,64;14,73;44,6666666666667;15,7666666666667;818,9;7,747777778
"20";"5737_3_A";"b";"c";"15.05.2019";"14.06.2019";30;"no";450,1;108,38;312,34;68,93;39,45;36,4;545;14,63;79,64;14,73;44,6666666666667;15,7666666666667;818,9;7,747777778
"21";"5737_3_F";"b";"a";"15.05.2019";"14.06.2019";30;"yes";450,2;108,41;61,96;34,87;73,54;67,83;569;14,45;77,02;13,66;44;15,8666666666667;795,6;7,755555556
"22";"5737_3_F";"b";"a";"15.05.2019";"14.06.2019";30;"no";449,7;108,29;206,09;57,5;50,79;46,9;569;14,45;77,02;13,66;44;15,8666666666667;795,6;7,755555556
"23";"5737_3_G";"b";"b";"15.05.2019";"14.06.2019";30;"yes";449,6;108,26;206,73;52,07;56,19;51,9;514;15,02;77,61;14,01;45,3333333333333;15,8666666666667;781,6666667;7,832222222
"24";"5737_3_G";"b";"b";"15.05.2019";"14.06.2019";30;"no";450,8;108,55;140,55;63,17;45,38;41,81;514;15,02;77,61;14,01;45,3333333333333;15,8666666666667;781,6666667;7,832222222
